,rank,title,Date
0,1,슬기로운 의사생활,2020-04-01
1,2,"하이바이, 마마!",2020-04-01
2,3,킹덤,2020-04-01
3,4,이태원 클라쓰,2020-04-01
4,5,하이에나,2020-04-01
5,6,루갈,2020-04-01
6,7,슬기로운 감빵생활,2020-04-01
7,8,사랑의 불시착,2020-04-01
8,9,멜로가 체질,2020-04-01
9,10,종이의 집,2020-04-01
10,1,슬기로운 의사생활,2020-04-02
11,2,킹덤,2020-04-02
12,3,이태원 클라쓰,2020-04-02
13,4,"하이바이, 마마!",2020-04-02
14,5,하이에나,2020-04-02
15,6,루갈,2020-04-02
16,7,슬기로운 감빵생활,2020-04-02
17,8,사랑의 불시착,2020-04-02
18,9,멜로가 체질,2020-04-02
19,10,종이의 집,2020-04-02
20,1,슬기로운 의사생활,2020-04-03
21,2,하트시그널,2020-04-03
22,3,킹덤,2020-04-03
23,4,이태원 클라쓰,2020-04-03
24,5,"하이바이, 마마!",2020-04-03
25,6,하이에나,2020-04-03
26,7,슬기로운 감빵생활,2020-04-03
27,8,루갈,2020-04-03
28,9,사랑의 불시착,2020-04-03
29,10,멜로가 체질,2020-04-03
30,1,슬기로운 의사생활,2020-04-04
31,2,하트시그널,2020-04-04
32,3,킹덤,2020-04-04
33,4,이태원 클라쓰,2020-04-04
34,5,종이의 집,2020-04-04
35,6,하이에나,2020-04-04
36,7,"하이바이, 마마!",2020-04-04
37,8,슬기로운 감빵생활,2020-04-04
38,9,사랑의 불시착,2020-04-04
39,10,멜로가 체질,2020-04-04
40,1,슬기로운 의사생활,2020-04-05
41,2,하이에나,2020-04-05
42,3,종이의 집,2020-04-05
43,4,킹덤,2020-04-05
44,5,이태원 클라쓰,2020-04-05
45,6,하트시그널,2020-04-05
46,7,"하이바이, 마마!",2020-04-05
47,8,슬기로운 감빵생활,2020-04-05
48,9,사랑의 불시착,2020-04-05
49,10,멜로가 체질,2020-04-05
50,1,슬기로운 의사생활,2020-04-06
51,2,하이에나,2020-04-06
52,3,킹덤,2020-04-06
53,4,종이의 집,2020-04-06
54,5,루갈,2020-04-06
55,6,이태원 클라쓰,2020-04-06
56,7,"하이바이, 마마!",2020-04-06
57,8,하트시그널,2020-04-06
58,9,슬기로운 감빵생활,2020-04-06
59,10,멜로가 체질,2020-04-06
60,1,슬기로운 의사생활,2020-04-07
61,2,하이에나,2020-04-07
62,3,루갈,2020-04-07
63,4,종이의 집,2020-04-07
64,5,킹덤,2020-04-07
65,6,이태원 클라쓰,2020-04-07
66,7,"하이바이, 마마!",2020-04-07
67,8,슬기로운 감빵생활,2020-04-07
68,9,멜로가 체질,2020-04-07
69,10,하트시그널,2020-04-07
