rank,program,broadcast,rate,category,date
1,TV조선뉴스9,TV CHOSUN,5.783,종편,20200401
2,인생다큐(마이웨이),TV CHOSUN,4.820,종편,20200401
3,JTBC뉴스룸,JTBC,4.306,종편,20200401
4,나는자연인이다,MBN,4.290,종편,20200401
5,뉴스A,채널A,3.748,종편,20200401
6,뉴스TOP10,채널A,3.610,종편,20200401
7,MBN뉴스와이드,MBN,3.566,종편,20200401
8,뉴스파이터,MBN,3.478,종편,20200401
9,미스터트롯의맛<재>,TV CHOSUN,3.473,종편,20200401
10,보도본부핫라인,TV CHOSUN,3.384,종편,20200401
1,신청곡을불러드립니다사랑의콜센타2부,TV CHOSUN,22.182,종편,20200402
2,신청곡을불러드립니다사랑의콜센타1부,TV CHOSUN,18.502,종편,20200402
3,TV조선뉴스9,TV CHOSUN,5.724,종편,20200402
4,JTBC뉴스룸,JTBC,4.147,종편,20200402
5,뉴스A,채널A,3.728,종편,20200402
6,보도본부핫라인,TV CHOSUN,3.381,종편,20200402
7,이규연의스포트라이트,JTBC,3.286,종편,20200402
8,MBN종합뉴스,MBN,3.259,종편,20200402
9,뉴스TOP10,채널A,3.230,종편,20200402
10,시사쇼이것이정치다,TV CHOSUN,2.858,종편,20200402
1,금토드라마(부부의세계),JTBC,14.016,종편,20200403
2,TV조선뉴스9,TV CHOSUN,5.547,종편,20200403
3,현장르포특종세상,MBN,4.650,종편,20200403
4,뉴스A,채널A,4.226,종편,20200403
5,시사쇼이것이정치다,TV CHOSUN,3.822,종편,20200403
6,뉴스파이터,MBN,3.722,종편,20200403
7,JTBC뉴스룸,JTBC,3.602,종편,20200403
8,뉴스TOP10,채널A,3.534,종편,20200403
9,보도본부핫라인,TV CHOSUN,3.460,종편,20200403
10,MBN뉴스와이드,MBN,3.456,종편,20200403
1,금토드라마(부부의세계),JTBC,15.794,종편,20200404
2,아는형님,JTBC,6.152,종편,20200404
3,신청곡을불러드립니다사랑의콜센타2부<재>,TV CHOSUN,5.525,종편,20200404
4,신청곡을불러드립니다사랑의콜센타1부<재>,TV CHOSUN,4.955,종편,20200404
5,TV조선뉴스7,TV CHOSUN,4.390,종편,20200404
6,강적들,TV CHOSUN,3.918,종편,20200404
7,MBN뉴스특보,MBN,3.373,종편,20200404
8,금토드라마(부부의세계<재>),JTBC,3.124,종편,20200404
9,금토드라마(부부의세계<재>),JTBC,2.874,종편,20200404
10,뉴스A,채널A,2.809,종편,20200404
1,뭉쳐야찬다전설들의조기축구,JTBC,5.438,종편,20200405
2,금토드라마(부부의세계<재>),JTBC,4.774,종편,20200405
3,신청곡을불러드립니다사랑의콜센타<재>,TV CHOSUN,3.995,종편,20200405
4,뉴스A,채널A,3.782,종편,20200405
5,TV조선뉴스7,TV CHOSUN,3.605,종편,20200405
6,MBN종합뉴스,MBN,3.469,종편,20200405
7,알토란,MBN,3.427,종편,20200405
7,JTBC뉴스룸,JTBC,3.427,종편,20200405
9,유랑마켓스타와직거래,JTBC,3.158,종편,20200405
10,금토드라마(부부의세계<재>),JTBC,3.135,종편,20200405
1,TV조선뉴스9,TV CHOSUN,4.696,종편,20200406
2,JTBC뉴스룸,JTBC,4.129,종편,20200406
3,보도본부핫라인,TV CHOSUN,3.649,종편,20200406
4,인생감정쇼얼마예요,TV CHOSUN,3.540,종편,20200406
5,뉴스A,채널A,3.448,종편,20200406
6,뉴스TOP10,채널A,3.318,종편,20200406
7,MBN뉴스와이드,MBN,3.068,종편,20200406
8,채널A특집다큐(내가겪은코로나코로나19투병기),채널A,2.732,종편,20200406
9,MBN종합뉴스,MBN,2.719,종편,20200406
10,시사쇼이것이정치다,TV CHOSUN,2.545,종편,20200406
1,세상어디에도없는아내의맛2부,TV CHOSUN,8.174,종편,20200407
2,세상어디에도없는아내의맛1부,TV CHOSUN,5.942,종편,20200407
3,TV조선뉴스9,TV CHOSUN,5.822,종편,20200407
4,JTBC뉴스룸,JTBC,3.736,종편,20200407
5,뉴스A,채널A,3.577,종편,20200407
6,MBN종합뉴스,MBN,3.385,종편,20200407
7,뉴스TOP10,채널A,3.380,종편,20200407
8,시사쇼이것이정치다,TV CHOSUN,3.367,종편,20200407
9,휴먼다큐(사노라면),MBN,3.170,종편,20200407
10,MBN뉴스와이드,MBN,3.149,종편,20200407
1,TV조선뉴스9,TV CHOSUN,5.416,종편,20200408
2,나는자연인이다,MBN,3.983,종편,20200408
3,JTBC뉴스룸,JTBC,3.791,종편,20200408
4,MBN뉴스와이드,MBN,3.553,종편,20200408
5,보도본부핫라인,TV CHOSUN,3.439,종편,20200408
6,뉴스TOP10,채널A,3.327,종편,20200408
7,뉴스A,채널A,3.244,종편,20200408
8,뉴스파이터,MBN,3.223,종편,20200408
9,질문있습니다차이나는클라스,JTBC,3.177,종편,20200408
10,시사쇼이것이정치다,TV CHOSUN,3.097,종편,20200408
1,신청곡을불러드립니다사랑의콜센타2부,TV CHOSUN,18.584,종편,20200409
2,신청곡을불러드립니다사랑의콜센타1부,TV CHOSUN,15.419,종편,20200409
3,TV조선뉴스9,TV CHOSUN,4.752,종편,20200409
4,뉴스TOP10,채널A,3.490,종편,20200409
5,이규연의스포트라이트,JTBC,3.477,종편,20200409
6,JTBC뉴스룸,JTBC,3.459,종편,20200409
7,뉴스A,채널A,3.197,종편,20200409
8,나만믿고따라와도시어부2대항해시대2부,채널A,3.149,종편,20200409
