,rank,title,broadcast,episode,date,genre,category,DateTime,count
0,1,아내의 맛,TV조선,91,2020-03-31,예능,종편,2020-04-01 09:00:00,1
1,2,아무도 모른다,SBS,10,2020-03-31,드라마,지상파,2020-04-01 09:00:00,1
2,3,365 : 운명을 거스르는 1년,MBC,7-8,2020-03-31,드라마,지상파,2020-04-01 09:00:00,1
3,4,불타는 청춘,SBS,247,2020-03-31,예능,지상파,2020-04-01 09:00:00,1
4,5,미운 우리 새끼,SBS,183,2020-03-29,예능,지상파,2020-04-01 09:00:00,1
5,6,비디오스타,MBC Every1,190,2020-03-31,예능,케이블,2020-04-01 09:00:00,1
6,7,PD 수첩,MBC,1236,2020-03-31,시사교양,지상파,2020-04-01 09:00:00,1
7,8,런닝맨,SBS,496,2020-03-29,예능,지상파,2020-04-01 09:00:00,1
8,9,동상이몽2_너는 내 운명,SBS,139,2020-03-30,예능,지상파,2020-04-01 09:00:00,1
9,10,슈퍼맨이 돌아왔다,KBS 2TV,323,2020-03-29,예능,지상파,2020-04-01 09:00:00,1
10,11,나 혼자 산다,MBC,339,2020-03-27,예능,지상파,2020-04-01 09:00:00,1
11,12,무엇이든 물어보살,KBS JOY,54,2020-03-30,예능,케이블,2020-04-01 09:00:00,1
12,13,천일야사,채널A,171,2020-03-31,시사교양,종편,2020-04-01 09:00:00,1
13,14,나쁜사랑,MBC,87,2020-04-01,드라마,지상파,2020-04-01 09:00:00,1
14,15,꽃길만 걸어요,KBS 1TV,111,2020-03-31,드라마,지상파,2020-04-01 09:00:00,1
15,16,개는 훌륭하다,KBS 2TV,21,2020-03-30,예능,지상파,2020-04-01 09:00:00,1
16,17,그것이 알고싶다,SBS,1208,2020-03-28,시사교양,지상파,2020-04-01 09:00:00,1
17,18,부러우면 지는거다,MBC,4,2020-03-30,예능,지상파,2020-04-01 09:00:00,1
18,19,하이에나,SBS,12,2020-03-28,드라마,지상파,2020-04-01 09:00:00,1
19,20,아무도 모른다[19세],SBS,10,2020-03-31,드라마,지상파,2020-04-01 09:00:00,1
20,21,전지적 참견시점,MBC,97,2020-03-28,예능,지상파,2020-04-01 09:00:00,1
21,22,맛 좀 보실래요,SBS,101,2020-03-31,드라마,지상파,2020-04-01 09:00:00,1
22,23,놀면 뭐하니?,MBC,35,2020-03-28,예능,지상파,2020-04-01 09:00:00,1
23,24,한 번 다녀왔습니다,KBS 2TV,3-4,2020-03-29,드라마,지상파,2020-04-01 09:00:00,1
24,25,1박2일 시즌4,KBS 2TV,17,2020-03-29,예능,지상파,2020-04-01 09:00:00,1
25,26,구해줘! 홈즈,MBC,51,2020-03-29,예능,지상파,2020-04-01 09:00:00,1
26,27,일일드라마 위험한 약속,KBS 2TV,2,2020-03-31,드라마,지상파,2020-04-01 09:00:00,1
27,28,옥탑방의 문제아들,KBS 2TV,71,2020-03-30,예능,지상파,2020-04-01 09:00:00,1
28,29,사장님 귀는 당나귀 귀,KBS 2TV,49,2020-03-29,예능,지상파,2020-04-01 09:00:00,1
29,30,백종원의 골목식당,SBS,111,2020-03-25,예능,지상파,2020-04-01 09:00:00,1
30,31,미스터트롯의 맛,TV CHOSUN,2,2020-03-26,예능,종편,2020-04-01 09:00:00,1
31,32,맛있는 녀석들,iHQ,266,2020-03-24,예능,케이블,2020-04-01 09:00:00,1
32,33,연애의 참견3,KBS JOY,12,2020-03-24,예능,케이블,2020-04-01 09:00:00,1
33,34,라디오스타,MBC,662,2020-03-25,예능,지상파,2020-04-01 09:00:00,1
34,35,그 남자의 기억법,MBC,5-6,2020-03-25,드라마,지상파,2020-04-01 09:00:00,1
35,36,역사저널 그날,KBS 1TV,258,2020-03-31,시사교양,지상파,2020-04-01 09:00:00,1
36,37,휴먼다큐 사람이 좋다,MBC,357,2020-03-31,시사교양,지상파,2020-04-01 09:00:00,1
37,38,판도라,MBN,163,2020-03-30,시사교양,종편,2020-04-01 09:00:00,1
38,39,낭만닥터 김사부 2,SBS,16,2020-02-25,드라마,지상파,2020-04-01 09:00:00,1
39,40,"진짜 농구, 핸섬 타이거즈",SBS,12,2020-03-27,예능,지상파,2020-04-01 09:00:00,1
40,41,끼리끼리,MBC,10,2020-03-29,예능,지상파,2020-04-01 09:00:00,1
41,42,휴먼다큐 사노라면,MBN,424,2020-03-31,시사교양,종편,2020-04-01 09:00:00,1
42,43,어서와,KBS 2TV,1-2,2020-03-25,드라마,지상파,2020-04-01 09:00:00,1
43,44,도시어부2: 대항해시대,채널A,15,2020-03-26,예능,종편,2020-04-01 09:00:00,1
44,45,맛남의 광장,SBS,17,2020-03-26,예능,지상파,2020-04-01 09:00:00,1
45,46,오지GO,MBN,6,2020-03-30,예능,종편,2020-04-01 09:00:00,1
46,47,궁금한 이야기 Y,SBS,489,2020-03-27,시사교양,지상파,2020-04-01 09:00:00,1
47,48,MBC뉴스데스크,MBC,20200331,2020-03-31,뉴스,지상파,2020-04-01 09:00:00,1
48,49,기막힌 이야기 실제상황,MBN,384,2020-03-29,시사교양,종편,2020-04-01 09:00:00,1
49,50,선을 넘는 녀석들-리턴즈,MBC,31,2020-03-29,예능,지상파,2020-04-01 09:00:00,1
50,51,날아라 슛돌이 뉴 비기닝,KBS 2TV,13,2020-03-31,예능,지상파,2020-04-01 09:00:00,1
51,52,하트시그널 시즌3,채널A,1,2020-03-25,예능,종편,2020-04-01 09:00:00,1
52,53,풍문으로 들었쇼,채널A,233,2020-03-30,예능,종편,2020-04-01 09:00:00,1
53,54,미스터트롯,TV CHOSUN,11,2020-03-12,예능,종편,2020-04-01 09:00:00,1
54,55,KBS 뉴스9,KBS 1TV,,2020-03-31,뉴스,지상파,2020-04-01 09:00:00,1
55,56,어쩌다 가족 ,TV CHOSUN,1,2020-03-29,드라마,종편,2020-04-01 09:00:00,1
56,57,유별나! 문셰프,채널A,1,2020-03-27,드라마,종편,2020-04-01 09:00:00,1
57,58,SBS 8뉴스,SBS,,2020-03-31,뉴스,지상파,2020-04-01 09:00:00,1
58,59,집사부일체,SBS,113,2020-03-29,예능,지상파,2020-04-01 09:00:00,1
59,60,김병만의 정글의 법칙,SBS,407,2020-03-28,예능,지상파,2020-04-01 09:00:00,1
60,61,TV 동물농장,SBS,962,2020-03-29,예능,지상파,2020-04-01 09:00:00,1
61,62,신상 출시 편스토랑,KBS 2TV,22,2020-03-27,예능,지상파,2020-04-01 09:00:00,1
62,63,스토브리그,SBS,16,2020-02-14,드라마,지상파,2020-04-01 09:00:00,1
63,64,수상한 파트너,SBS,1,2017-05-10,드라마,지상파,2020-04-01 09:00:00,1
