,count,like,link,program,title,crawling_day,crawling_time,genre,personal
0,"296,815",422,https://tv.naver.com/v/13143170/list/67096,아내의 맛,한번 보고 바로 계약?! 마마 아파트 ✧FLEX✧,2020.04.01,9,예능,0
1,"510,441",770,https://tv.naver.com/v/13143112/list/67096,아내의 맛,짠소원네 방 부족해 집 사주는 파파 클라쓰..乃,2020.04.01,9,예능,0
2,"157,321",185,https://tv.naver.com/v/13143229/list/67096,아내의 맛,산골 빌라 ⋄농장 뷰⋄ 1년치 대파 해결 가능ㅋㅋ,2020.04.01,9,예능,0
3,"108,648",219,https://tv.naver.com/v/13143073/list/67096,아내의 맛,어우 ⧛파 냄새!⧚ 식신파 보스 마마 화보 촬영 中,2020.04.01,9,예능,0
4,"83,620",165,https://tv.naver.com/v/13143164/list/67096,아내의 맛,↖니킥 작렬↗ 함소원 링 위의 여전사 시절.. 찐이다..,2020.04.01,9,예능,0
5,"144,207",146,https://tv.naver.com/v/13143115/list/67096,아내의 맛,며느리 머리채 잡기ㅋㅋ 오늘만 공식 허용 ? ʘ̥_ʘ,2020.04.01,9,예능,0
6,"80,417",14,https://tv.naver.com/v/13144748/list/67096,뉴스는 YTN,홍준표·이언주 살아 돌아올까?...격전지 여론조사,2020.04.01,9,뉴스,0
7,"43,750",9,https://tv.naver.com/v/13145084/list/67096,MBC뉴스,한 건물서 200명 넘게 '확진'…'집단감염' 심각,2020.04.01,9,뉴스,0
8,"51,475",24,https://tv.naver.com/v/12972428/list/67096,UNICON,사진 한장으로 인생 역전한 알바들!!,2020.04.01,9,예능,1
9,"151,861","1,481",https://tv.naver.com/v/13141091/list/67096,날씨가 좋으면 찾아가겠어요,껌딱지처럼 붙어있는 박민영♥서강준 (시작부터 꽁냥꽁냥),2020.04.01,9,드라마,0
10,"42,065",7,https://tv.naver.com/v/13145561/list/67096,SBS뉴스,"""우한 화장장에 5천 개 유골함 운반"" 논란…입장 바꾼 中",2020.04.01,9,뉴스,0
11,"66,458",132,https://tv.naver.com/v/13142990/list/67096,아내의 맛,함소원 코 수술 5번? 💢무차별 폭격💢 남편 배신,2020.04.01,9,예능,0
12,"61,890",98,https://tv.naver.com/v/13142995/list/67096,아내의 맛,마마 시술 효과😎 이중 턱 삭제 »» 견적은 얼마?💰,2020.04.01,9,예능,0
13,"82,564",174,https://tv.naver.com/v/13143056/list/67096,아내의 맛,😝큐티 짠소원😝 45세의 귀여움이란? 어깨승천 ୧(＂̮)୨,2020.04.01,9,예능,0
14,"351,386","1,080",https://tv.naver.com/v/13064871/list/67096,콬TV,"너구나, 김연두가? [일진에게 찍혔을 때2] EP01",2020.04.01,9,드라마,0
15,"70,237",595,https://tv.naver.com/v/13144374/list/67096,뉴스는 YTN,코로나 공포 속 아이 구한 '용감한 대구시민',2020.04.01,9,뉴스,0
16,"663,110","10,111",https://tv.naver.com/v/12839270/list/67096,미스터트롯,✪주먹 장인✪ 임히어로 출격↗ 임영웅 ‘두 주먹’♩,2020.04.01,9,예능,0
17,"47,848","7,801",https://tv.naver.com/v/13092968/list/67096,쇼! 음악중심,강다니엘 -2U (KANG DANIEL -2U),2020.04.01,9,예능,0
18,"58,974",105,https://tv.naver.com/v/13143065/list/67096,아내의 맛,간식 스나이퍼 마마 ✖이성 상실✖ 과자님 사망(-),2020.04.01,9,예능,0
19,"199,746",518,https://tv.naver.com/v/13142313/list/67096,아내의 맛,“제 마음속 1등이에요♡” 갑자기 분위기 소개팅~,2020.04.01,9,예능,0
20,"58,587",78,https://tv.naver.com/v/13143227/list/67096,아내의 맛,의왕시 HOT한 관광코스(?) ▸짠소원 생가 투어◂,2020.04.01,9,예능,0
21,"23,077",33,https://tv.naver.com/v/13080088/list/67096,김형준의 인사이드MLB,170km를 던진다고? 만우절 같은 투수들 | 김형준,2020.04.01,9,스포츠,0
22,"43,036",26,https://tv.naver.com/v/13144827/list/67096,MBC뉴스,"훔친 차로 질주한 10대들…""배달 청년 사망""",2020.04.01,9,뉴스,0
23,"34,956",0,https://tv.naver.com/v/13145948/list/67096,JTBC뉴스,의정부성모병원 10명 추가 확진…2500여 명 집단감염 우려,2020.04.01,9,뉴스,0
24,"209,412","5,651",https://tv.naver.com/v/13069728/list/67096,미스터트롯의 맛,김호중 트롯 데뷔 무산된 그 곡 ‘너나 나나’♬,2020.04.01,9,예능,0
25,"14,119",0,https://tv.naver.com/v/13146127/list/67096,SBSCNBC뉴스,오늘부터 달라지는 ‘코로나 대출’ A~Z…준비할 서류는,2020.04.01,9,뉴스,0
26,"25,421","1,392",https://tv.naver.com/v/13114349/list/67096,로드 투 킹덤,[사전 선호도 조사] 펜타곤 (PENTAGON) 퍼포먼스 미리보기,2020.04.01,9,예능,0
27,"87,701",433,https://tv.naver.com/v/13142311/list/67096,아내의 맛,장민호의 이상형 수수한 수지..?! 집단 발끈 💢,2020.04.01,9,예능,0
