,actor,broadcast_date,channel,count,crawling_day,crawling_time,genre,p_url,price,program,sale_day,sale_week,title,view_day,view_total,view_week
0,"강호동,김종민,김동현,신동희,유병재,표지훈",20200329,,1.0,2020.04.01,9,예능,,1650.0,대탈출3,190.0,1370.0,,23637,140114.0,72189
1,,20200328,,1.0,2020.04.01,9,드라마,,1650.0,부부의 세계,72.0,606.0,,17901,155300.0,87491
2,"안은진,하윤경,김혜인,조이현,김수진,조정석,안연석,정경호,김대명,전미도",20200326,,1.0,2020.04.01,9,드라마,,1650.0,슬기로운 의사생활,25.0,741.0,,12901,308941.0,177892
3,"김태희,이규형,고보결,서우진,김미경,박수영,김미수,신동미,오의식,윤수미",20200329,,1.0,2020.04.01,9,드라마,,1650.0,하이바이마마,22.0,222.0,,12751,95283.0,48519
4,,20200331,,1.0,2020.04.01,9,드라마,,1650.0,날씨가 좋으면 찾아가겠어요,39.0,30.0,,12100,17608.0,3697
5,,20200328,,1.0,2020.04.01,9,예능,,1650.0,아는 형님,8.0,78.0,,10791,100131.0,53445
6,,20200329,,1.0,2020.04.01,9,드라마,,1650.0,루갈,9.0,56.0,,10534,51276.0,28422
7,"설민석,전현무,이동준,윤소희,장강명,김상욱,문가영",20200330,,1.0,2020.04.01,9,예능,,1650.0,책 읽어드립니다,12.0,14.0,,8659,14115.0,7348
8,,20200329,,1.0,2020.04.01,9,예능,,1650.0,뭉쳐야 찬다,11.0,64.0,,7628,43612.0,23881
9,,20200330,,1.0,2020.04.01,9,예능,,1650.0,77억의 사랑,21.0,28.0,,7111,11926.0,6347
10,"신동엽,이혜리,박나래,김동현,문세윤,이민호,표지훈,이준영,김미경",20200328,,1.0,2020.04.01,9,예능,,1650.0,도레미 마켓,4.0,122.0,,6375,73114.0,41516
11,"정해인,채수빈,이하나,김성규,이나리,이정은,이승준,강봉성,김정우,우지현",20200331,,1.0,2020.04.01,9,드라마,,1650.0,반의반,35.0,30.0,,6239,9270.0,2223
12,,20200328,,1.0,2020.04.01,9,드라마,,1650.0,부부의 세계,26.0,165.0,,6087,46534.0,25265
13,,20200331,,1.0,2020.04.01,9,예능,,1650.0,세상 어디에도 없는 ′아내의 맛′,7.0,4.0,,4539,5846.0,629
14,"유승호,이세영,조성하,고창석,윤지온,전효성,손광업,박응수,오치운,김서경",20200326,,1.0,2020.04.01,9,드라마,,1650.0,메모리스트,5.0,100.0,,3715,74060.0,41630
15,,20200321,,1.0,2020.04.01,9,드라마,,1650.0,이태원 클라쓰,6.0,98.0,,3295,312348.0,41096
16,,20200328,,1.0,2020.04.01,9,예능,,1650.0,트래블러-아르헨티나,3.0,38.0,,2910,23655.0,13838
17,"유재석,조세호",20200325,,1.0,2020.04.01,9,예능,,1650.0,유 퀴즈 온 더 블럭,3.0,151.0,,2786,66069.0,39645
18,,20200327,,1.0,2020.04.01,9,예능,,1650.0,맛있는 녀석들,1.0,10.0,,2282,29011.0,16717
19,,20200325,,1.0,2020.04.01,9,예능,,1650.0,하트시그널 시즌3,2.0,323.0,,2276,96254.0,49602
20,,20200324,,1.0,2020.04.01,9,예능,,1650.0,연애의 참견 시즌3,3.0,9.0,,1799,26861.0,13162
21,,20200329,,1.0,2020.04.01,9,예능,,1650.0,방구석 1열,3.0,12.0,,1750,11967.0,7455
22,"이승기,김상욱,은지원,송민호,장도연,양정무,이서진,홍진경,한준희,박지윤",20200327,,1.0,2020.04.01,9,예능,,1650.0,금요일 금요일 밤에,4.0,29.0,,1663,33050.0,20763
23,,20200330,,1.0,2020.04.01,9,예능,,1650.0,내가 스페셜 원! 전 세계 연봉킹 19,1.0,1.0,,1562,2795.0,1505
24,"이상준,최지용,임건희,신규진,정호철,박나래,김지민,신영일,허영지,박광수",20200322,,1.0,2020.04.01,9,예능,,1650.0,코미디빅리그,3.0,38.0,,1545,35781.0,11537
25,"서지혜,김정현,남경읍,방은진,최대훈,황진희,박형수,윤지영,고규필,임철수",20200216,,1.0,2020.04.01,9,드라마,,1650.0,사랑의 불시착,4.0,25.0,,1443,550106.0,8115
