,link,program,regdate,title,view_day,view_total,view_week,crawling_day,crawling_time
0,http://www.tving.com/pick/player/top/PKC-1326013,퀴즈와 음악사이,2020.03.31,[1회] 충격!!! 신지가 21년 만에 밝힌 코요태 차승민의 비밀은?!,2224,2812,2090,2020.04.01,9
1,http://www.tving.com/pick/player/top/PKC-1326268,수미네 반찬,2020.03.31,5초 만에 끝? 초초초간단 수미쌤의 기름떡볶이,1885,1993,1702,2020.04.01,9
2,http://www.tving.com/pick/player/top/PKC-1326190,수미네 반찬,2020.03.31,치킨보다 맛있다! 수미표 닭날개조림 극강의 ★양념 비법★,1662,1788,1499,2020.04.01,9
3,http://www.tving.com/pick/player/top/PKC-1322645,수미네 반찬,2020.03.25,"어머, '김종민' 왔어?!? 야식 매니아를 위한 '조갯살고추다짐' 가볼까!",1435,4264,3818,2020.04.01,9
4,http://www.tving.com/pick/player/top/PKC-1323843,수미네 반찬,2020.03.27,"오독 향긋한 미더덕에 명란?! 믿고 먹는 바다 맛, 수미네 '명란미더덕찜'",1362,6611,6187,2020.04.01,9
5,http://www.tving.com/pick/player/top/PKC-1325316,대탈출 3,2020.03.30,"동현이 심장은 가루가 되었어요.. 끝없는 공포, 어둠의 별장",1063,7074,6665,2020.04.01,9
6,http://www.tving.com/pick/player/top/PKC-1326171,반의반,2020.03.31,"[5화 예고] 채수빈, 정해인식 사랑에 선긋기 ＂나 행복하려는 짝사랑＂",933,1189,961,2020.04.01,9
7,http://www.tving.com/pick/player/top/PKC-1322553,퀴즈와 음악사이,2020.03.25,[1회/예고] 논스톱 레트로 뮤직 퀴즈쇼 그랜드 오픈! | 퀴즈와 음악사이 3/31(화) 저녁 8시 Mnet 첫방송,847,1540,1190,2020.04.01,9
8,http://www.tving.com/pick/player/top/PKC-1326097,반의반,2020.03.31,채수빈의 소중한 것들이 하루아침에 사라졌다.. #엄마 #아빠 #고향집,826,1035,801,2020.04.01,9
9,http://www.tving.com/pick/player/top/PKC-1324252,루갈,2020.03.30,[3화 예고] '그렇게 날 만나고 싶었어?' 마침내 대면한 최진혁VS박성웅!,733,2199,1999,2020.04.01,9
10,http://www.tving.com/pick/player/top/PKC-1326010,퀴즈와 음악사이,2020.03.31,[1회/희귀자료] ′국민 댄스곡′ 코요태 ′순정′ @1992년 리듬천국,716,1047,820,2020.04.01,9
11,http://www.tving.com/pick/player/top/PKC-1326237,수미네 반찬,2020.03.31,계란말이의 업그레이드? 수미표 초간단 계란만두★,644,709,590,2020.04.01,9
12,http://www.tving.com/pick/player/top/PKC-1323842,수미네 반찬,2020.03.27,쫀득쫀득 칼칼~ 이건 꼭 배워놓고 싶다! 수미네 '기름 떡볶이',636,1488,1298,2020.04.01,9
13,http://www.tving.com/pick/player/top/PKC-1324548,"하이바이, 마마!",2020.03.28,[12화 예고] '나 누군지 알지...?' 김태희의 존재를 이미 알고 있던 서우진?!,603,4581,3208,2020.04.01,9
14,http://www.tving.com/pick/player/top/PKC-1324101,금요일 금요일 밤에,2020.03.28,[이서진의 뉴욕뉴욕] 스파게티에 당구공만 한 미트볼?! 딤섬값 내기까지! 네버 엔딩 뉴욕 먹방,588,215,174,2020.04.01,9
